record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
168 168 29.96 0:00:00:05.365/600 0:00:00:05.345/600 344.11 314.88 180.41 125.70 -1000.00 -1000.00 41.00 41.00 
169 169 29.96 0:00:00:05.385/600 0:00:00:05.365/600 344.46 314.98 180.32 125.72 -1000.00 -1000.00 41.00 41.00 
170 170 29.96 0:00:00:05.405/600 0:00:00:05.385/600 344.98 315.64 180.19 125.89 -1000.00 -1000.00 41.00 41.00 
171 171 29.96 0:00:00:05.425/600 0:00:00:05.405/600 337.10 316.13 182.43 125.97 -1000.00 -1000.00 37.00 41.00 
172 172 29.96 0:00:00:05.445/600 0:00:00:05.425/600 312.69 315.53 189.25 125.69 -1000.00 -1000.00 36.00 42.00 
173 173 29.96 0:00:00:05.465/600 0:00:00:05.445/600 282.88 314.15 197.50 125.19 -1000.00 -1000.00 40.00 43.00 
174 174 29.96 0:00:00:05.485/600 0:00:00:05.465/600 252.80 312.37 205.72 124.60 -1000.00 -1000.00 40.00 43.00 
175 175 29.96 0:00:00:05.505/600 0:00:00:05.485/600 230.95 310.63 211.63 124.07 -1000.00 -1000.00 39.00 43.00 
176 176 29.96 0:00:00:05.525/600 0:00:00:05.505/600 226.00 309.84 212.94 123.85 -1000.00 -1000.00 40.00 44.00 
177 177 29.96 0:00:00:05.545/600 0:00:00:05.525/600 226.41 308.97 212.80 123.64 -1000.00 -1000.00 40.00 44.00 
178 178 29.96 0:00:00:05.565/600 0:00:00:05.545/600 227.01 307.68 212.59 123.33 -1000.00 -1000.00 40.00 43.00 
179 179 29.96 0:00:00:05.585/600 0:00:00:05.565/600 226.92 305.75 212.55 122.86 -1000.00 -1000.00 39.00 43.00 
180 180 29.96 0:00:00:06.05/600 0:00:00:05.585/600 217.83 308.75 215.12 123.55 -1000.00 -1000.00 34.00 24.00 
181 181 29.96 0:00:00:06.25/600 0:00:00:06.05/600 202.06 314.29 219.59 124.81 -1000.00 -1000.00 43.00 25.00 
182 182 29.96 0:00:00:06.45/600 0:00:00:06.25/600 187.17 320.02 223.81 126.12 -1000.00 -1000.00 37.00 33.00 
183 183 29.95 0:00:00:06.66/600 0:00:00:06.45/600 173.59 323.06 227.57 126.78 -1000.00 -1000.00 38.00 45.00 
184 184 29.95 0:00:00:06.86/600 0:00:00:06.66/600 168.93 321.93 228.77 126.48 -1000.00 -1000.00 39.00 45.00 
185 185 29.95 0:00:00:06.106/600 0:00:00:06.86/600 170.74 319.01 228.18 125.79 -1000.00 -1000.00 39.00 46.00 
186 186 29.95 0:00:00:06.126/600 0:00:00:06.106/600 171.50 316.47 227.88 125.18 -1000.00 -1000.00 39.00 47.00 
187 187 29.95 0:00:00:06.146/600 0:00:00:06.126/600 171.64 317.43 227.88 125.41 -1000.00 -1000.00 39.00 47.00 
188 188 29.95 0:00:00:06.166/600 0:00:00:06.146/600 172.04 318.43 227.81 125.65 -1000.00 -1000.00 40.00 46.00 
189 189 29.95 0:00:00:06.186/600 0:00:00:06.166/600 172.51 318.92 227.70 125.77 -1000.00 -1000.00 40.00 48.00 
190 190 29.95 0:00:00:06.206/600 0:00:00:06.186/600 172.73 319.31 227.66 125.87 -1000.00 -1000.00 40.00 47.00 
191 191 29.95 0:00:00:06.226/600 0:00:00:06.206/600 172.96 319.55 227.60 125.93 -1000.00 -1000.00 40.00 48.00 
